MORA60;Edad;Ingreso_Mensual;Max_Calif;Nivel_Educativo;Situacion_Casa
1;25;1071.59;0;TECNICO;FAMILIAR
1;25;731.79;0;TECNICO;FAMILIAR
1;25;953.13;0;SUPERIOR;FAMILIAR
0;26;1434.7;1;TECNICO;FAMILIAR
0;26;668.46;3;TECNICO;FAMILIAR
0;26;1500;0;TECNICO;FAMILIAR
1;26;1200;0;TECNICO;FAMILIAR
1;26;960.09;1;SIN EDUCACION;PROPIA
1;26;846.03;0;TECNICO;FAMILIAR
1;26;1470.37;2;TECNICO;FAMILIAR
1;26;2900;1;PROFESIONAL;FAMILIAR
1;26;1240.55;3;TECNICO;FAMILIAR
0;27;2224.3;2;PROFESIONAL;FAMILIAR
0;27;1189.13;0;TECNICO;FAMILIAR
0;27;2500;0;TECNICO;PROPIA
0;27;1551.11;0;PROFESIONAL;FAMILIAR
1;27;3000;1;PROFESIONAL;FAMILIAR
1;27;960;1;TECNICO;PROPIA
1;27;1350;0;TECNICO;FAMILIAR
1;27;800;0;TECNICO;FAMILIAR
1;27;1500;2;TECNICO;FAMILIAR
1;27;2050;0;PROFESIONAL;FAMILIAR
1;27;965.58;0;TECNICO;FAMILIAR
0;28;1450.38;3;TECNICO;FAMILIAR
0;28;1378.3;0;PROFESIONAL;FAMILIAR
0;28;4107.72;0;PROFESIONAL;FAMILIAR
0;28;1760;0;PROFESIONAL;FAMILIAR
0;28;1062.02;0;TECNICO;FAMILIAR
0;28;2105.77;2;PROFESIONAL;PROPIA
1;28;811.41;0;TECNICO;FAMILIAR
1;28;2000;0;EDUCACION BASICA;FAMILIAR
1;28;900;1;TECNICO;FAMILIAR
1;28;697.62;0;TECNICO;PROPIA
1;28;1200;0;TECNICO;FAMILIAR
1;28;957.43;1;TECNICO;PROPIA
1;28;1017.28;0;TECNICO;FAMILIAR
1;28;1883.7;1;PROFESIONAL;FAMILIAR
1;28;2824.63;1;TECNICO;FAMILIAR
1;28;1668.98;0;TECNICO;FAMILIAR
1;28;548.65;0;TECNICO;PROPIA
1;28;1652.94;0;PROFESIONAL;FAMILIAR
1;29;1000;2;TECNICO;FAMILIAR
1;29;1200;0;TECNICO;FAMILIAR
1;29;980;1;TECNICO;FAMILIAR
1;29;743.17;0;TECNICO;FAMILIAR
1;29;2885;0;PROFESIONAL;FAMILIAR
1;29;3342.35;1;TECNICO;FAMILIAR
1;29;1050.9;0;TECNICO;FAMILIAR
1;29;968.06;0;TECNICO;FAMILIAR
1;29;3000;0;TECNICO;FAMILIAR
1;29;2311.8;1;TECNICO;PROPIA
1;29;1600;1;TECNICO;FAMILIAR
0;30;4000;1;PROFESIONAL;FAMILIAR
0;30;1800;4;TECNICO;FAMILIAR
0;30;5000;0;PROFESIONAL;FAMILIAR
1;30;1200;0;TECNICO;FAMILIAR
1;30;973.69;0;PROFESIONAL;FAMILIAR
1;30;1400;0;PROFESIONAL;FAMILIAR
1;30;3200;0;PROFESIONAL;FAMILIAR
1;30;5000;0;PROFESIONAL;FAMILIAR
1;30;750;3;PROFESIONAL;FAMILIAR
1;30;1700;2;SUPERIOR;FAMILIAR
0;31;1000;0;TECNICO;FAMILIAR
0;31;7126.84;0;EDUCACION BASICA;FAMILIAR
0;31;4500;0;PROFESIONAL;FAMILIAR
0;31;5250;0;PROFESIONAL;PROPIA
